,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
180786,Brand9,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,IV Market,Not Available,Not Available,Class1,MOTRX,1249.7384,,,
180825,Brand1,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,IV Market,IV Market,Not Available,Class1,NBRX,0.0,,,
180855,Brand5,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class3,NBRX,35.8997,,,
180869,Brand22,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class4,MOTRX,354.9036,,,
180879,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Other Market,Not Available,Class1,NBRX,0.0,,,
180883,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication3,Other Market,Other Market,Not Available,Class3,MOTRX,4.5014,,5.122627661,5.332407038
180922,Brand2,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Not Available,Not Available,Class1,MOTRX,1817.7311,1817.7311,,
180937,Brand33,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,TRX,6.0625,6.0625,,
180945,Brand31,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,MOTRX,781.6284,,,
180962,Brand31,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,MOTRX,101.8142,,,
180977,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,TRX,4.2765,,,
180989,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
181081,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,TRX,1.7216,,,
181222,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class3,MOTRX,3902.4702,,,4622.783263
181311,Brand12,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication4,IV Market,Not Available,Not Available,Class1,MOTRX,235.5972,235.5972,,
181380,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,NBRX,0.0,,,
181459,Brand31,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,NBRX,33.181,,,
181491,Brand20,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,10.5909,,,
181524,Brand21,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
181723,Brand23,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,IV Market,IV Market,Not Available,Class1,NBRX,0.0,,,
181752,Brand17,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,IV Market,Not Available,Not Available,Class1,TRX,279.7769,,,
181796,Brand24,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class2,NBRX,45.1327,,,
181797,Brand24,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class2,MOTRX,611.6995,,,
181802,Brand12,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,IV Market,Not Available,Not Available,Class1,NBRX,0.0,,,
181834,Brand30,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class4,MOTRX,369.8043,,,
181895,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,MOTRX,191.863,,,
182000,Brand7,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class1,MOTRX,19.4344,19.4344,,
182008,Brand35,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class4,NBRX,2.1482,2.1482,,
182157,Brand31,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,NBRX,0.0,,,
182171,Brand10,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,135.3835,,,
182173,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,MOTRX,80.9041,,,
182185,Brand31,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,MOTRX,182.542,,,
182217,Brand24,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Oral Market,Oral Market,Not Available,Class2,NBRX,45.1327,,,
182316,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,627.1631,,,
182327,Brand33,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
182352,Brand24,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,2430.9043,,,
182353,Brand24,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Oral Market,Oral Market,Not Available,Class2,MOTRX,2925.5933,,,
182356,Brand8,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,7.1148,,,
182365,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class3,MOTRX,3.0112,,3.426768653,3.567100029
182391,Brand31,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class4,TRX,1198.4911,1198.4911,,
182449,Brand21,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,TRX,4.7589,4.7589,,
182471,Brand25,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,TRX,6.9875,,,
182472,Brand25,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,11.7013,,,
182474,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Not Available,Not Available,Class1,MOTRX,147.7333,147.7333,,
182581,Brand22,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,NBRX,26.5257,,,
182603,Brand9,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,IV Market,Not Available,Not Available,Class1,TRX,23.1434,,,
182680,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class1,MOTRX,7.7582,7.7582,,
182917,Brand30,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class4,MOTRX,158.0005,158.0005,,
182946,Brand4,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,TRX,1184.6175,,,
183000,Brand25,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class1,TRX,1.2516,1.2516,,
183012,Brand5,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Other Market,Not Available,Class3,NBRX,24.8801,,,
183057,Brand30,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class4,TRX,4238.0187,4238.0187,,
183060,Brand22,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class4,NBRX,223.411,223.411,,
183079,Brand2,1,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Other Market,Not Available,Not Available,Class1,TRX,18.2418,18.2418,,
183083,Brand20,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,17.641,,
183188,Brand2,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Not Available,Not Available,Class1,TRX,1678.4782,1678.4782,,
183201,Brand31,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class4,NBRX,40.4916,40.4916,,
183240,Brand4,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,MOTRX,506.3721,506.3721,,
183342,Brand31,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class4,MOTRX,1745.8582,1745.8582,,
183425,Brand38,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class3,NBRX,43.6526,43.6526,,
183506,Brand22,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class4,MOTRX,1334.6661,1334.6661,,
183578,Brand29,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class4,MOTRX,781.6284,,,
183675,Brand8,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,14.2018,14.2018,,
183683,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,605.831,,,
183734,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class1,MOTRX,1.3641,1.3641,,
183767,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Other Market,Not Available,Class3,NBRX,2.7842,,3.353364113,3.420459404
183768,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Other Market,Not Available,Class3,MOTRX,12.875,,14.65184857,15.251864
183804,Brand4,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,4443.2222,,,
183807,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,86.2291,,,
