,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
25,Brand5,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Other Market,Not Available,Class3,NBRX,7.3011,,,
36,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class3,TRX,811.0088,,,960.4027316
40,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class3,MOTRX,23.5208,,,27.86223981
97,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,NBRX,121.0889,,,
115,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Other Market,Not Available,Class1,NBRX,4.8951,,,
161,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class3,TRX,175.0962,,,207.3502393
218,Brand26,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,3.5743,,,
240,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class3,MOTRX,57.1448,,,67.69251563
263,Brand17,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,IV Market,Not Available,Not Available,Class1,TRX,98.7448,,,
264,Brand17,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,IV Market,Not Available,Not Available,Class1,NBRX,16.4575,,,
279,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class3,MOTRX,185.871,,211.522621,220.1847933
305,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Oral Market,Oral Market,Not Available,Class2,TRX,4.9909,,,
376,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,NBRX,11.9612,,,
405,Brand11,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
426,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,25.3946,,,
612,Brand30,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class4,TRX,2.6145,,,
631,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,NBRX,22.1333,,,
653,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication3,Other Market,Other Market,Not Available,Class1,TRX,1.1465,,,
686,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Not Available,Not Available,Class1,TRX,1.6074,,,
687,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Not Available,Not Available,Class1,NBRX,0.0,,,
688,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Not Available,Not Available,Class1,MOTRX,1.6074,,,
695,Brand22,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,TRX,38.2207,,,
696,Brand11,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,TRX,1.7216,,,
716,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication3,Other Market,Other Market,Not Available,Class1,NBRX,0.0,,,
740,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication3,Not Available,Not Available,Not Available,Class1,MOTRX,8.1248,,,
771,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class3,NBRX,0.0,,,
796,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,NBRX,1.6255,,,
813,Brand22,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,NBRX,81.3577,,,
821,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class3,TRX,167.5407,,190.6409822,198.4088249
935,Brand30,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,NBRX,102.7792,,,
939,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
989,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class3,MOTRX,833.6701,,948.7229561,987.5746009
1007,Brand9,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,IV Market,Not Available,Not Available,Class1,NBRX,46.2868,,,
1032,Brand5,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class3,MOTRX,428.252,,,
1050,Brand31,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,TRX,60.8474,,,
1072,Brand12,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,IV Market,Not Available,Not Available,Class1,MOTRX,0.7588,,,
1104,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,TRX,1.6074,,,
1108,Brand12,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,IV Market,Not Available,Not Available,Class1,TRX,1.3901,,,
1116,Brand1,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,IV Market,IV Market,Not Available,Class1,NBRX,135.3835,,,
1117,Brand1,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,IV Market,IV Market,Not Available,Class1,MOTRX,4504.5762,,,
1145,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Other Market,Not Available,Class1,NBRX,1.1465,,,
1157,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,MOTRX,9.7481,,,
1189,Brand17,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,IV Market,Not Available,Not Available,Class1,TRX,5.8269,,,
1190,Brand17,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,IV Market,Not Available,Not Available,Class1,NBRX,0.0,,,
1209,Brand13,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
1287,Brand22,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class4,MOTRX,1334.6661,1334.6661,,
1462,Brand13,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
1513,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Not Available,Not Available,Class1,TRX,2723.202,2723.202,,
1617,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class1,TRX,38.7627,38.7627,,
1676,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class2,NBRX,33.1767,33.1767,,
1677,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class2,MOTRX,321.5562,321.5562,,
1741,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class3,TRX,743.8754,,,880.9028535
1886,Brand24,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Oral Market,Oral Market,Not Available,Class2,MOTRX,4.4758,,,
1902,Brand6,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class3,TRX,130.102,,,130.102
2005,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class1,TRX,3.7468,3.7468,,
2044,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class3,TRX,268.8752,268.8752,,
2065,Brand7,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class1,NBRX,0.5232,0.5232,,
2125,Brand13,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class1,MOTRX,1.0,1.0,,
2146,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class1,MOTRX,23.1844,23.1844,,
2156,Brand24,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class2,TRX,4.1774,4.1774,,
2188,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class3,TRX,0.86,0.86,,
2231,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class3,TRX,23.3177,23.3177,26.53271254,27.61381238
2232,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class3,MOTRX,23.5208,23.5208,26.76685047,27.86299361
2387,Brand3,1,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Oral Market,Oral Market,Not Available,Class2,TRX,6.4788,6.4788,,
2522,Brand6,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class3,NBRX,0.0,,,0.0
2525,Brand20,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,1.7226,,,
2747,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,TRX,137.2203,137.2203,,
2788,Brand6,1,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class3,TRX,4.7502,4.7502,,5.322428581
2812,Brand8,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
2868,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,NBRX,0.0,0.0,,
2915,Brand29,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class4,TRX,74.3324,,,
2924,Brand17,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,IV Market,Not Available,Not Available,Class1,TRX,1.5,,,
2936,Brand5,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class3,NBRX,135.9764,,,
3012,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class3,NBRX,135.9764,,,
3135,Brand25,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,NBRX,5.8328,,,
3137,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class2,NBRX,38.568,,,
3152,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,72.287,,
3153,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,1298.5153,,
3182,Brand14,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class2,MOTRX,652.9666,652.9666,,
3239,Brand11,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,BnB IV Market,BnB IV Market,Not Available,Class1,MOTRX,520.5901,,,
3248,Brand14,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class2,NBRX,0.0,,,
3260,Brand21,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,12.1369,,
3299,Brand4,1,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,40.2128,,
3388,Brand20,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,82.984,,
3489,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class3,MOTRX,162.3502,162.3502,,192.3165966
3503,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,NBRX,28.6961,28.6961,,
3550,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class3,NBRX,0.0,,,0.0
3634,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,TRX,265.1049,265.1049,,
3641,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class3,MOTRX,3017.76,3017.76,3434.233983,3574.871076
3672,Brand22,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class4,NBRX,0.0,0.0,,
3751,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,TRX,4.2765,,,
3757,Brand10,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,1427.6798,,,
3944,Brand22,1,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,14.1874,,
4001,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class1,TRX,431.7088,431.7088,,
4039,Brand22,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class4,MOTRX,68.9267,68.9267,,
4074,Brand30,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class4,TRX,435.5379,,,
4116,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Oral Market,Oral Market,Not Available,Class2,TRX,22.7698,22.7698,,
4137,Brand21,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,2.808,,,
4196,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class3,NBRX,28.5986,28.5986,,
4254,Brand8,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
4387,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Oral Market,Oral Market,Not Available,Class2,MOTRX,1.7057,,,
4400,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class1,MOTRX,2.2147,2.2147,,
4417,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,MOTRX,4443.2222,,,
4558,Brand35,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class4,NBRX,5.0511,5.0511,,
4656,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,430.8486,,,
4743,Brand4,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,3132.9069,3132.9069,,
4757,Brand24,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Oral Market,Oral Market,Not Available,Class2,TRX,3298.7583,3298.7583,,
4758,Brand24,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Oral Market,Oral Market,Not Available,Class2,NBRX,293.2845,293.2845,,
4776,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class1,TRX,2.349,2.349,,
4857,Brand14,2,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class2,MOTRX,1.5976,1.5976,,
4861,Brand3,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Oral Market,Oral Market,Not Available,Class2,MOTRX,6.9069,6.9069,,
4883,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Oral Market,Oral Market,Not Available,Class2,TRX,22.7698,,,
4989,Brand3,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class2,MOTRX,,125.0614,,
5074,Brand11,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class1,MOTRX,310.7165,310.7165,,
5106,Brand9,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,IV Market,Not Available,Not Available,Class1,TRX,3.5062,,,
5204,Brand35,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class4,MOTRX,186.9151,186.9151,,
5370,Brand4,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class1,TRX,4.1483,4.1483,,
5510,Brand3,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Oral Market,Oral Market,Not Available,Class2,MOTRX,6.4934,6.4934,,
5532,Brand38,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class3,TRX,97.7468,97.7468,,
5569,Brand11,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,16.3924,,
5583,Brand3,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,1419.7471,,
5641,Brand27,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class1,MOTRX,1.3862,1.3862,,
5706,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class1,NBRX,0.0,0.0,,
5922,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,21.2114,,
5942,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class3,NBRX,0.0,0.0,,0.0
5957,Brand20,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,8.9952,8.9952,,
6165,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class3,MOTRX,632.5968,632.5968,719.9000013,749.3809989
6406,Brand3,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class2,MOTRX,,125.0614,,
6414,Brand7,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,NBRX,62.5365,62.5365,,
6536,Brand14,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,5.0421,,
6547,Brand9,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication6,IV Market,Not Available,Not Available,Class1,TRX,23.1434,23.1434,,
6554,Brand36,1,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,9.7858,,
6608,Brand5,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class3,NBRX,4.1584,4.1584,,
6609,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class2,TRX,27.4154,27.4154,,
6643,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class3,NBRX,0.0,0.0,,0.0
6644,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class3,MOTRX,1.3921,1.3921,,1.649052075
6738,Brand33,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,TRX,1.0,1.0,,
6781,Brand18,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,7.1942,,
6954,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class3,MOTRX,11.4829,11.4829,13.06762811,13.60276731
7036,Brand20,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,7.0191,7.0191,,
7056,Brand4,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,366.7904,,
7077,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class3,MOTRX,3018.7104,3018.7104,,3575.900186
7205,Brand22,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class4,MOTRX,1.1434,1.1434,,
7258,Brand23,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,274.9933,,
7295,Brand3,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,300.0852,,
7337,Brand30,1,PED,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class4,NBRX,26.7325,26.7325,,
7343,Brand14,2,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class2,NBRX,,0.0,,
7395,Brand1,2,OTHERS,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,270.767,,
7396,Brand4,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,20.9336,,
7439,Brand2,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Not Available,Not Available,Class1,NBRX,127.6224,127.6224,,
7470,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class3,NBRX,4.1584,4.1584,,
7487,Brand35,2,PED,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class4,NBRX,22.0556,22.0556,,
7632,Brand5,1,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class3,MOTRX,,187.3045,,
7750,Brand8,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,177.6216,177.6216,,
7885,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
7967,Brand22,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class4,MOTRX,,9.2084,,
7998,Brand21,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,54.5511,,
8021,Brand8,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,77.164,,
8037,Brand24,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,255.743,,
8040,Brand41,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,TRX,,135.2775,,
8042,Brand29,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,240.6395,,
8046,Brand16,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication6,IV Market,Not Available,Not Available,Class1,MOTRX,37.8348,37.8348,,
8126,Brand21,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,7759.8994,,
8174,Brand11,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class1,TRX,,12.6973,,
8385,Brand14,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,872.7136,,
8408,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Other Market,Not Available,Not Available,Class1,MOTRX,23.1844,23.1844,,
8415,Brand3,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,6025.4424,,
8592,Brand29,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class4,TRX,,7.013,,
8618,Brand21,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,3596.1006,,
8678,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class3,MOTRX,,2.1781,,
8710,Brand11,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
8758,Brand23,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,7.3951,,
8811,Brand8,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,105.4886,,
8814,Brand24,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class2,TRX,,13.2855,,
8877,Brand11,2,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class1,TRX,,1.3366,,
8900,Brand14,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,41.7147,,
8902,Brand35,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class4,TRX,,154.3889,,
8906,Brand22,1,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class4,NBRX,,0.0,,
8935,Brand42,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,NBRX,,4.3896,,
8968,Brand24,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Oral Market,Oral Market,Not Available,Class2,NBRX,45.1327,45.1327,,
8984,Brand14,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,163.8131,,
9080,Brand39,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
9158,Brand29,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,121.3731,,
9186,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class1,TRX,124.8719,124.8719,,
9235,Brand5,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class3,NBRX,,8.1285,,
9290,Brand41,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,MOTRX,,2653.1758,,
9356,Brand15,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,156.556,,
9369,Brand22,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,12.4851,,
9436,Brand39,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,3321.1075,,
